Package                   Version
------------------------- -----------
aiofiles                  23.2.1
aiohappyeyeballs          2.4.4
aiohttp                   3.11.14
aioquic                   1.2.0
aiosignal                 1.3.2
annotated-types           0.7.0
anyio                     4.7.0
asgiref                   3.8.1
attrs                     24.3.0
beautifulsoup4            4.12.3
blinker                   1.9.0
Brotli                    1.1.0
certifi                   2024.12.14
cffi                      1.17.1
charset-normalizer        3.4.1
click                     8.1.8
contourpy                 1.3.1
cryptography              44.0.2
cycler                    0.12.1
deprecation               2.1.0
distro                    1.9.0
duckduckgo_search         7.2.0
e2b                       1.0.5
e2b-code-interpreter      1.0.3
fastapi                   0.115.6
ffmpy                     0.5.0
filelock                  3.13.1
Flask                     3.1.0
fonttools                 4.57.0
frozenlist                1.5.0
fsspec                    2024.2.0
googlemaps                4.10.0
gotrue                    2.11.4
gradio                    5.9.1
gradio_client             1.5.2
h11                       0.14.0
h2                        4.1.0
hpack                     4.1.0
httpcore                  1.0.7
httpx                     0.27.2
huggingface-hub           0.27.0
hyperframe                6.0.1
idna                      3.10
importlib_metadata        8.5.0
itsdangerous              2.2.0
Jinja2                    3.1.5
jiter                     0.8.2
jsonschema                4.23.0
jsonschema-specifications 2024.10.1
kaitaistruct              0.10
kiwisolver                1.4.8
ldap3                     2.9.1
litellm                   1.56.10
lxml                      5.3.0
markdown-it-py            3.0.0
markdownify               0.14.1
MarkupSafe                2.1.5
matplotlib                3.10.1
mdurl                     0.1.2
mitmproxy                 11.0.2
mitmproxy-macos           0.10.7
mitmproxy_rs              0.10.7
mpmath                    1.3.0
msgpack                   1.1.0
multidict                 6.1.0
networkx                  3.2.1
numpy                     1.26.3
openai                    1.59.3
orjson                    3.10.13
packaging                 24.2
pandas                    2.2.3
passlib                   1.7.4
piexif                    1.1.3
pillow                    11.1.0
pip                       25.0.1
postgrest                 0.19.3
primp                     0.9.3
propcache                 0.2.1
protobuf                  5.29.2
publicsuffix2             2.20191221
pyasn1                    0.6.1
pyasn1_modules            0.4.2
pycparser                 2.22
pydantic                  2.10.4
pydantic_core             2.27.2
pydub                     0.25.1
Pygments                  2.18.0
pylsqpack                 0.3.20
pyOpenSSL                 24.3.0
pyparsing                 3.2.0
pyperclip                 1.9.0
python-dateutil           2.9.0.post0
python-dotenv             1.0.1
python-multipart          0.0.20
python-pptx               1.0.2
pytz                      2024.2
PyYAML                    6.0.2
realtime                  2.4.1
referencing               0.35.1
regex                     2024.11.6
requests                  2.32.3
rich                      13.9.4
rpds-py                   0.22.3
ruamel.yaml               0.18.6
ruamel.yaml.clib          0.2.12
ruff                      0.8.6
safehttpx                 0.1.6
safetensors               0.5.0
seaborn                   0.13.2
semantic-version          2.10.0
service-identity          24.2.0
setuptools                65.5.0
shellingham               1.5.4
six                       1.17.0
smolagents                1.0.0
sniffio                   1.3.1
sortedcontainers          2.4.0
soupsieve                 2.6
starlette                 0.41.3
storage3                  0.11.3
StrEnum                   0.4.15
supabase                  2.13.0
supafunc                  0.9.3
sympy                     1.13.1
termcolor                 2.5.0
tiktoken                  0.8.0
tokenizers                0.21.0
tomlkit                   0.13.2
torch                     2.5.1
torchaudio                2.5.1
torchvision               0.20.1
tornado                   6.4.2
tqdm                      4.67.1
transformers              4.47.1
typer                     0.15.1
typing_extensions         4.12.2
tzdata                    2024.2
urllib3                   2.3.0
urwid                     2.6.16
uvicorn                   0.34.0
wcwidth                   0.2.13
websockets                14.1
Werkzeug                  3.1.3
wsproto                   1.2.0
XlsxWriter                3.2.2
yarl                      1.18.3
zipp                      3.21.0
zstandard                 0.23.0
